Machine_ID,Temperature,Run_Time,Downtime_Flag
Machine_4,64.36,20.19,yes
Machine_8,74.44,22.66,no
Machine_1,46.6,19.22,no
Machine_10,68.52,9.22,no
Machine_6,47.76,19.08,no
Machine_5,58.99,16.76,no
Machine_7,65.95,19.33,yes
Machine_3,85.26,21.7,no
Machine_8,78.93,13.63,no
Machine_2,43.2,7.59,no
Machine_9,66.04,16.21,yes
Machine_2,56.21,1.0,no
Machine_1,46.63,9.49,no
Machine_9,54.66,4.84,yes
Machine_6,91.92,21.74,no
Machine_8,49.44,9.46,no
Machine_5,33.87,20.01,yes
Machine_2,47.19,15.54,no
Machine_4,28.12,15.35,no
Machine_7,28.75,23.08,yes
Machine_1,20.8,14.43,no
Machine_7,34.42,4.73,yes
Machine_9,76.82,14.84,no
Machine_10,39.0,0.59,yes
Machine_6,62.31,1.14,yes
Machine_3,52.12,23.94,yes
Machine_8,44.75,5.49,yes
Machine_10,23.38,11.01,yes
Machine_7,26.31,8.11,yes
Machine_10,87.38,13.28,no
Machine_3,55.64,2.57,no
Machine_2,41.45,10.21,no
Machine_1,89.53,12.63,yes
Machine_9,91.36,21.44,no
Machine_8,84.08,17.7,yes
Machine_10,26.16,0.72,yes
Machine_9,50.07,4.0,yes
Machine_4,83.9,9.55,yes
Machine_6,55.34,1.24,yes
Machine_7,51.61,20.06,no
Machine_8,67.77,0.29,no
Machine_1,35.97,19.13,yes
Machine_1,42.7,6.43,no
Machine_5,79.78,8.64,yes
Machine_1,21.73,0.47,no
Machine_3,97.62,3.67,yes
Machine_10,85.0,23.85,no
Machine_4,26.84,16.9,no
Machine_3,34.08,15.6,no
Machine_4,23.88,23.23,no
Machine_4,21.28,9.76,no
Machine_1,44.34,5.49,yes
Machine_5,65.91,17.83,yes
Machine_6,23.56,11.52,yes
Machine_1,46.64,13.94,no
Machine_4,96.41,19.15,yes
Machine_9,71.64,11.52,yes
Machine_9,80.72,6.64,yes
Machine_1,76.3,23.28,no
Machine_6,23.81,4.35,yes
Machine_7,99.15,20.16,no
Machine_9,56.36,15.0,no
Machine_1,42.99,2.6,yes
Machine_2,68.95,5.46,yes
Machine_2,23.04,2.56,yes
Machine_9,77.64,4.66,no
Machine_10,22.21,4.4,no
Machine_9,76.32,18.9,no
Machine_7,34.27,6.08,yes
Machine_7,80.85,18.8,yes
Machine_2,61.4,6.85,no
Machine_1,44.17,15.69,no
Machine_4,35.99,20.99,no
Machine_9,72.8,10.2,no
Machine_3,25.34,21.75,yes
Machine_5,36.43,18.04,no
Machine_8,54.03,9.45,yes
Machine_9,35.58,16.69,no
Machine_3,68.71,0.79,yes
Machine_4,46.26,16.4,no
Machine_5,36.4,21.61,no
Machine_1,98.21,13.35,no
Machine_9,71.97,8.98,yes
Machine_8,85.29,16.87,no
Machine_7,22.39,14.45,yes
Machine_3,66.75,6.71,yes
Machine_8,77.44,17.53,no
Machine_1,44.29,11.61,no
Machine_7,94.43,20.97,no
Machine_4,60.93,0.87,no
Machine_10,20.8,5.67,yes
Machine_5,86.28,4.1,yes
Machine_6,38.19,13.39,no
Machine_3,94.96,9.49,yes
Machine_6,97.95,19.48,yes
Machine_4,31.0,12.16,yes
Machine_7,22.31,15.75,no
Machine_1,51.06,22.33,yes
Machine_1,56.52,2.79,no
Machine_5,92.11,1.57,yes
Machine_2,30.99,5.53,yes
Machine_1,45.16,3.63,no
Machine_6,83.95,19.25,yes
Machine_9,41.34,17.21,no
Machine_4,48.54,16.43,yes
Machine_3,25.54,10.37,no
Machine_10,75.92,12.91,no
Machine_10,27.02,8.51,no
Machine_6,73.43,5.13,yes
Machine_10,21.52,0.09,no
Machine_3,93.41,10.18,yes
Machine_3,96.74,12.68,no
Machine_1,30.19,9.39,no
Machine_8,75.18,11.98,no
Machine_9,82.51,8.7,no
Machine_5,63.8,2.25,no
Machine_8,38.57,9.15,no
Machine_4,30.55,19.92,no
Machine_3,30.86,16.58,yes
Machine_9,97.76,5.23,yes
Machine_2,22.41,14.43,yes
Machine_3,22.89,21.56,yes
Machine_8,23.32,19.95,yes
Machine_7,82.9,20.72,no
Machine_5,88.84,23.09,yes
Machine_10,94.14,18.5,no
Machine_7,89.8,10.11,no
Machine_6,27.89,0.33,no
Machine_3,36.78,20.64,no
Machine_7,76.44,11.08,yes
Machine_3,39.66,15.6,yes
Machine_7,52.14,2.69,yes
Machine_2,56.41,11.36,no
Machine_2,81.88,22.99,yes
Machine_7,73.63,2.72,yes
Machine_6,79.75,9.01,yes
Machine_1,85.04,7.92,yes
Machine_1,44.5,10.88,no
Machine_9,62.24,7.06,yes
Machine_4,22.67,1.28,no
Machine_3,22.26,7.11,no
Machine_5,27.11,21.64,no
Machine_3,31.62,16.3,yes
Machine_10,22.73,13.19,yes
Machine_4,55.75,22.31,no
Machine_9,62.9,9.08,yes
Machine_3,65.6,17.16,yes
Machine_2,59.34,5.62,yes
Machine_4,24.94,5.62,yes
Machine_9,60.7,21.08,no
Machine_2,33.45,3.12,yes
Machine_10,83.35,17.7,no
Machine_1,83.79,4.24,yes
Machine_5,92.71,0.58,yes
Machine_7,81.68,7.4,no
Machine_6,36.21,23.87,no
Machine_6,98.22,12.01,yes
Machine_2,94.47,9.99,no
Machine_9,27.15,4.21,no
Machine_10,41.38,3.42,yes
Machine_9,88.0,5.75,yes
Machine_1,41.95,23.29,yes
Machine_4,32.36,14.78,yes
Machine_10,93.98,23.35,no
Machine_1,79.28,12.46,yes
Machine_3,88.99,2.67,no
Machine_7,61.57,16.85,yes
Machine_2,39.43,13.91,yes
Machine_10,81.7,21.88,yes
Machine_9,48.56,1.49,no
Machine_1,29.8,4.2,no
Machine_1,63.33,4.95,yes
Machine_8,68.17,6.25,no
Machine_8,55.37,2.05,yes
Machine_7,38.21,17.4,yes
Machine_1,99.09,19.79,no
Machine_5,59.34,23.05,no
Machine_9,79.0,16.53,yes
Machine_2,59.54,22.69,yes
Machine_2,59.68,2.11,no
Machine_4,54.01,3.22,no
Machine_6,48.67,4.54,yes
Machine_8,39.69,18.94,no
Machine_3,29.32,16.88,yes
Machine_4,91.95,6.33,no
Machine_3,61.83,13.91,no
Machine_1,90.45,11.71,yes
Machine_6,77.8,16.89,yes
Machine_3,96.47,12.52,yes
Machine_2,43.37,11.18,no
Machine_9,29.51,20.33,no
Machine_6,36.12,17.94,no
Machine_9,24.72,10.21,no
Machine_5,57.2,7.86,no
Machine_5,29.03,15.0,no
Machine_7,54.85,13.18,yes
Machine_6,23.03,14.26,yes
Machine_4,93.78,21.15,yes
Machine_10,93.65,2.05,yes
Machine_2,55.33,18.75,no
Machine_10,51.34,18.52,yes
Machine_3,92.94,15.75,yes
Machine_1,49.46,6.33,no
Machine_6,78.98,0.21,no
Machine_6,54.92,12.28,no
Machine_10,61.84,17.31,no
Machine_6,51.73,0.75,no
Machine_7,29.33,2.44,yes
Machine_3,27.19,19.96,yes
Machine_7,65.91,21.82,yes
Machine_10,93.49,16.98,yes
Machine_10,30.87,1.91,yes
Machine_6,58.89,18.97,yes
Machine_10,86.54,21.73,no
Machine_6,44.98,15.53,yes
Machine_9,62.05,23.17,no
Machine_5,50.23,4.21,no
Machine_4,42.1,19.49,no
Machine_9,20.12,12.97,no
Machine_7,61.32,3.99,yes
Machine_8,91.44,10.77,yes
Machine_7,87.47,0.69,no
Machine_10,58.16,15.63,no
Machine_4,89.42,7.28,yes
Machine_3,35.71,5.99,yes
Machine_9,39.0,1.6,yes
Machine_5,79.21,23.69,yes
Machine_5,29.9,5.74,no
Machine_2,82.26,21.24,no
Machine_10,96.75,21.67,yes
Machine_5,25.56,5.1,no
Machine_9,24.21,6.14,yes
Machine_10,42.58,5.58,yes
Machine_5,24.01,20.44,yes
Machine_5,59.62,12.24,no
Machine_9,91.5,9.96,yes
Machine_8,69.21,6.33,no
Machine_1,41.11,20.0,no
Machine_5,88.56,18.87,no
Machine_6,61.92,7.61,no
Machine_2,40.52,0.74,no
Machine_3,23.7,14.08,yes
Machine_7,66.33,17.26,no
Machine_9,21.64,16.48,yes
Machine_1,65.53,19.9,no
Machine_1,88.85,13.07,yes
Machine_9,81.85,11.27,yes
Machine_5,49.75,6.68,no
Machine_5,75.77,3.91,no
Machine_7,81.63,17.48,yes
Machine_1,49.26,0.5,yes
Machine_10,63.6,20.5,no
Machine_5,40.09,22.4,no
Machine_5,42.18,0.95,no
Machine_9,31.92,8.67,no
Machine_2,50.68,7.1,no
Machine_8,73.73,8.12,yes
Machine_1,30.63,13.02,yes
Machine_6,87.52,4.73,no
Machine_10,43.66,4.95,no
Machine_9,62.85,0.17,yes
Machine_6,28.74,11.09,no
Machine_1,97.4,0.74,no
Machine_3,55.34,8.3,no
Machine_1,62.6,9.45,yes
Machine_10,20.65,15.59,no
Machine_1,70.49,22.95,yes
Machine_8,91.43,0.37,no
Machine_2,87.05,5.58,no
Machine_2,73.99,14.68,yes
Machine_5,34.72,10.45,no
Machine_4,67.66,5.1,yes
Machine_1,99.46,7.57,yes
Machine_4,99.05,17.67,no
Machine_2,30.93,20.97,no
Machine_4,71.29,18.29,no
Machine_5,57.76,9.1,no
Machine_5,22.86,4.73,yes
Machine_1,89.96,23.07,no
Machine_9,79.73,16.97,yes
Machine_1,94.35,22.63,yes
Machine_10,23.67,0.76,yes
Machine_5,24.15,6.97,no
Machine_9,33.65,2.43,no
Machine_5,21.06,10.73,yes
Machine_7,57.37,1.38,no
Machine_6,61.96,13.45,yes
Machine_7,20.37,12.97,yes
Machine_5,93.89,13.98,no
Machine_9,49.44,13.65,no
Machine_6,46.36,23.63,no
Machine_9,65.6,7.01,yes
Machine_5,99.95,1.78,no
Machine_3,74.81,8.34,no
Machine_7,68.96,23.57,no
Machine_10,60.62,5.85,no
Machine_6,50.01,18.56,yes
Machine_2,93.8,20.75,no
Machine_5,66.54,3.76,no
Machine_2,93.04,3.64,no
Machine_1,37.04,12.55,yes
Machine_8,21.24,17.04,yes
Machine_9,66.4,19.04,no
Machine_3,86.24,14.96,yes
Machine_1,35.17,10.01,yes
Machine_1,42.98,23.28,no
Machine_8,28.07,22.75,yes
Machine_8,63.8,16.12,no
Machine_6,98.92,19.29,no
Machine_6,88.33,2.23,no
Machine_10,49.59,10.42,no
Machine_2,90.99,16.16,no
Machine_4,83.43,21.13,yes
Machine_2,31.49,17.7,no
Machine_2,38.22,21.14,yes
Machine_6,77.66,1.21,no
Machine_10,92.35,16.21,no
Machine_5,23.75,4.83,yes
Machine_1,98.17,15.31,yes
Machine_1,94.73,2.19,yes
Machine_8,23.85,13.68,no
Machine_9,98.55,5.93,no
Machine_9,93.48,14.15,yes
Machine_3,55.1,19.18,no
Machine_9,66.37,13.38,yes
Machine_7,77.5,23.05,no
Machine_1,62.42,6.81,yes
Machine_6,91.12,17.64,yes
Machine_7,56.12,8.99,yes
Machine_8,69.4,1.51,no
Machine_10,73.7,12.58,yes
Machine_8,33.91,9.35,no
Machine_5,72.36,9.46,yes
Machine_4,36.87,21.13,no
Machine_1,52.52,19.69,no
Machine_2,91.18,15.99,yes
Machine_1,69.28,6.73,no
Machine_3,72.38,11.92,no
Machine_3,55.78,6.21,no
Machine_6,26.01,7.98,yes
Machine_6,45.1,12.92,yes
Machine_10,55.78,1.95,no
Machine_3,74.12,22.42,no
Machine_2,68.15,3.8,yes
Machine_2,22.18,5.37,yes
Machine_5,25.26,10.49,no
Machine_7,58.14,21.12,yes
Machine_10,33.29,3.82,no
Machine_4,88.02,11.8,yes
Machine_1,88.76,13.05,no
Machine_6,55.75,10.88,no
Machine_10,47.42,6.37,no
Machine_3,72.17,8.54,yes
Machine_4,66.69,10.53,yes
Machine_6,96.94,18.31,yes
Machine_5,41.35,13.54,yes
Machine_8,51.83,8.21,yes
Machine_2,91.83,13.42,no
Machine_4,49.95,18.57,yes
Machine_7,56.64,23.74,no
Machine_3,52.28,6.4,yes
Machine_6,47.95,11.76,yes
Machine_7,69.49,6.96,yes
Machine_9,28.37,11.92,no
Machine_6,50.36,10.75,no
Machine_6,38.71,20.69,no
Machine_6,70.04,21.35,yes
Machine_10,86.23,9.86,yes
Machine_10,56.87,6.79,yes
Machine_3,72.36,19.53,yes
Machine_7,71.78,5.37,yes
Machine_7,30.14,12.8,no
Machine_4,30.25,20.19,no
Machine_1,93.83,4.33,yes
Machine_1,58.82,18.67,no
Machine_8,75.64,13.09,no
Machine_6,28.38,0.57,yes
Machine_7,41.28,7.56,no
Machine_6,51.44,16.07,no
Machine_4,24.32,11.07,no
Machine_8,51.05,11.13,no
Machine_9,20.53,5.41,no
Machine_9,29.24,7.34,no
Machine_10,99.67,2.06,yes
Machine_7,24.92,19.22,no
Machine_5,37.1,16.34,no
Machine_10,86.63,9.92,no
Machine_6,39.26,8.53,yes
Machine_5,80.81,22.15,no
Machine_3,77.51,9.27,yes
Machine_8,32.38,20.37,yes
Machine_10,87.63,11.03,yes
Machine_3,77.89,2.63,yes
Machine_7,97.36,21.48,no
Machine_8,53.46,21.56,no
Machine_8,43.44,2.79,no
Machine_8,84.04,15.87,no
Machine_3,44.24,15.49,no
Machine_6,24.79,23.55,yes
Machine_5,97.75,15.32,yes
Machine_10,93.36,0.92,yes
Machine_8,40.7,5.19,no
Machine_10,97.08,20.24,yes
Machine_10,63.02,11.23,no
Machine_5,87.5,8.3,yes
Machine_3,82.43,3.55,no
Machine_10,54.13,23.67,no
Machine_7,62.55,5.48,yes
Machine_4,98.2,19.46,yes
Machine_5,84.0,6.22,yes
Machine_2,98.22,13.79,yes
Machine_2,98.82,17.39,no
Machine_1,42.48,21.37,yes
Machine_7,55.61,4.16,yes
Machine_3,95.94,4.13,yes
Machine_5,71.9,2.68,no
Machine_8,96.21,19.79,no
Machine_6,74.39,23.05,no
Machine_2,23.25,21.74,no
Machine_9,78.83,23.19,no
Machine_3,73.59,2.41,no
Machine_8,46.14,2.57,yes
Machine_10,82.94,9.36,no
Machine_1,48.51,16.08,yes
Machine_10,43.1,7.72,yes
Machine_10,99.39,22.9,no
Machine_10,27.41,4.98,yes
Machine_9,50.79,13.54,no
Machine_5,51.9,6.78,no
Machine_6,40.84,9.8,yes
Machine_4,69.13,21.01,no
Machine_7,64.81,22.86,no
Machine_9,82.13,18.35,no
Machine_4,30.09,17.54,no
Machine_1,69.26,6.25,yes
Machine_5,44.42,22.29,yes
Machine_7,59.48,3.32,yes
Machine_10,52.89,12.16,yes
Machine_6,20.09,10.72,yes
Machine_5,72.49,16.98,yes
Machine_10,73.83,6.32,no
Machine_5,91.24,17.76,no
Machine_5,62.09,9.76,no
Machine_1,49.94,5.54,yes
Machine_2,91.67,13.17,yes
Machine_7,37.29,20.36,yes
Machine_6,77.5,8.44,yes
Machine_5,93.62,1.17,yes
Machine_8,70.23,12.76,yes
Machine_3,59.89,1.98,no
Machine_6,97.66,23.55,no
Machine_5,76.83,16.33,no
Machine_2,81.7,5.23,no
Machine_6,90.51,22.88,yes
Machine_1,31.35,3.4,yes
Machine_6,83.6,14.14,yes
Machine_3,82.0,1.58,yes
Machine_9,74.04,21.54,yes
Machine_3,38.08,14.45,no
Machine_7,28.53,11.99,yes
Machine_1,82.06,3.18,yes
Machine_4,97.84,16.88,yes
Machine_4,20.65,13.1,yes
Machine_10,40.79,20.74,yes
Machine_7,50.8,4.08,yes
Machine_6,98.22,8.72,yes
Machine_4,22.32,0.35,yes
Machine_4,88.52,13.26,yes
Machine_7,86.71,16.26,yes
Machine_5,86.87,12.0,no
Machine_1,72.22,18.12,no
Machine_1,63.34,0.98,no
Machine_9,80.72,13.65,yes
Machine_2,22.33,17.47,no
Machine_4,34.34,12.27,no
Machine_6,49.18,2.75,no
Machine_6,47.56,2.96,yes
Machine_8,92.31,19.56,yes
Machine_9,57.2,8.92,yes
Machine_4,22.67,16.96,no
Machine_2,60.93,21.27,no
Machine_7,81.34,13.92,no
Machine_3,83.21,1.78,no
Machine_10,74.44,22.28,no
Machine_4,98.93,10.85,yes
Machine_6,77.48,15.63,no
Machine_9,82.89,11.36,no
Machine_5,57.81,10.19,no
Machine_3,42.88,0.3,no
Machine_9,74.14,8.92,no
Machine_4,85.63,16.13,no
Machine_3,49.34,12.23,no
Machine_1,59.73,10.82,yes
Machine_9,68.45,7.7,no
Machine_5,69.58,7.51,yes
Machine_7,28.37,13.53,no
Machine_10,94.48,5.99,no
Machine_6,46.09,15.28,no
Machine_3,97.07,1.69,no
Machine_4,36.29,10.0,no
Machine_2,21.8,14.49,no
Machine_10,78.71,12.71,no
Machine_4,39.94,16.33,no
Machine_2,76.89,18.72,no
Machine_2,58.76,22.05,no
Machine_5,27.92,9.19,no
Machine_3,59.24,18.55,no
Machine_8,34.43,14.83,no
Machine_7,84.97,12.21,no
Machine_3,30.09,14.64,no
Machine_10,29.48,7.46,yes
Machine_7,67.24,11.74,yes
Machine_9,23.61,22.09,no
Machine_5,65.32,16.93,yes
Machine_2,96.63,9.49,yes
Machine_9,90.62,1.0,no
Machine_3,78.65,21.45,no
Machine_6,26.69,2.24,no
Machine_2,59.16,17.11,yes
Machine_5,75.55,10.89,no
Machine_7,61.9,18.06,no
Machine_4,23.88,9.48,no
Machine_4,68.5,23.91,no
Machine_3,59.11,16.82,no
Machine_2,43.86,22.48,yes
Machine_9,33.9,14.8,yes
Machine_7,76.16,18.26,yes
Machine_8,59.86,21.93,no
Machine_2,25.31,21.73,no
Machine_2,33.4,19.45,no
Machine_2,42.86,5.45,yes
Machine_10,99.78,20.58,no
Machine_3,84.65,10.34,no
Machine_9,55.1,11.34,yes
Machine_10,22.45,9.62,no
Machine_9,51.13,2.72,no
Machine_9,85.17,11.56,no
Machine_3,34.87,7.76,yes
Machine_7,42.04,4.78,yes
Machine_6,44.11,5.81,yes
Machine_9,52.82,15.44,no
Machine_10,94.53,10.51,yes
Machine_10,89.94,15.34,no
Machine_5,90.31,21.45,no
Machine_8,60.74,19.23,yes
Machine_2,76.54,14.0,no
Machine_7,98.61,22.83,no
Machine_1,76.62,6.69,no
Machine_2,58.02,1.29,yes
Machine_1,31.75,8.33,no
Machine_8,38.13,2.89,no
Machine_2,32.92,3.83,yes
Machine_8,20.65,17.01,yes
Machine_5,28.77,16.84,no
Machine_6,64.89,10.48,no
Machine_4,31.23,2.6,yes
Machine_4,82.27,4.23,yes
Machine_10,61.37,8.74,no
Machine_3,73.65,10.55,no
Machine_3,59.61,12.88,no
Machine_2,75.39,23.08,no
Machine_2,39.93,18.68,no
Machine_2,92.52,5.15,no
Machine_5,47.08,9.46,no
Machine_1,62.84,7.21,no
Machine_5,28.45,20.95,no
Machine_6,38.84,5.1,yes
Machine_3,63.17,10.65,yes
Machine_2,54.15,11.17,no
Machine_1,50.48,9.88,no
Machine_4,58.18,21.07,no
Machine_5,36.5,12.48,yes
Machine_3,52.29,1.09,no
Machine_9,68.31,21.18,yes
Machine_5,52.16,0.72,yes
Machine_3,94.3,15.87,no
Machine_6,26.06,0.37,no
Machine_3,54.29,11.8,yes
Machine_7,80.76,4.85,no
Machine_5,98.92,12.15,no
Machine_5,41.23,14.58,no
Machine_2,72.98,7.92,yes
Machine_2,29.24,12.12,yes
Machine_8,99.05,17.64,yes
Machine_4,52.27,2.85,no
Machine_6,20.69,0.06,yes
Machine_5,92.05,20.98,yes
Machine_7,32.54,16.62,no
Machine_3,53.51,8.86,no
Machine_2,71.79,17.29,no
Machine_8,74.53,19.16,yes
Machine_1,59.65,6.41,no
Machine_5,29.12,5.37,yes
Machine_10,68.05,13.39,yes
Machine_1,27.99,9.18,yes
Machine_4,85.04,6.63,no
Machine_9,98.07,22.69,no
Machine_8,86.04,21.21,no
Machine_8,39.12,23.82,no
Machine_6,91.39,10.85,no
Machine_5,64.65,11.7,yes
Machine_6,91.67,7.48,no
Machine_1,53.67,18.7,no
Machine_2,48.02,13.61,yes
Machine_6,52.74,23.77,no
Machine_8,69.01,9.03,no
Machine_2,75.81,19.52,yes
Machine_2,45.88,8.51,yes
Machine_1,21.84,6.63,yes
Machine_6,96.23,14.63,no
Machine_4,32.75,7.46,yes
Machine_2,46.74,18.7,yes
Machine_10,86.49,9.27,yes
Machine_2,96.66,2.16,no
Machine_7,42.32,11.69,yes
Machine_10,80.36,12.28,yes
Machine_2,68.78,7.66,no
Machine_4,79.6,2.37,no
Machine_10,48.9,4.64,no
Machine_10,26.17,4.88,yes
Machine_1,94.54,3.53,no
Machine_1,22.03,21.02,no
Machine_2,47.52,21.14,no
Machine_3,90.27,4.05,no
Machine_9,29.74,14.94,no
Machine_6,57.23,1.22,no
Machine_9,58.18,15.84,no
Machine_6,39.05,9.71,no
Machine_2,99.2,1.22,no
Machine_6,38.71,9.38,yes
Machine_4,71.13,17.36,no
Machine_8,92.77,12.33,yes
Machine_8,43.98,6.64,no
Machine_6,21.38,2.33,no
Machine_2,61.07,12.24,yes
Machine_2,80.48,21.28,yes
Machine_4,86.15,15.58,yes
Machine_8,83.12,21.93,no
Machine_7,61.3,23.26,no
Machine_6,99.02,5.48,yes
Machine_8,62.75,13.57,no
Machine_5,74.33,12.97,yes
Machine_7,73.79,3.19,no
Machine_9,21.61,13.35,no
Machine_10,34.98,23.14,yes
Machine_5,45.79,20.14,yes
Machine_7,31.69,17.23,yes
Machine_2,37.03,11.45,no
Machine_5,34.04,19.19,no
Machine_10,93.17,7.88,yes
Machine_3,24.26,6.57,yes
Machine_1,50.19,12.59,no
Machine_3,82.18,20.08,yes
Machine_1,97.57,20.05,no
Machine_5,98.12,2.71,yes
Machine_1,69.98,13.54,no
Machine_1,98.05,0.95,yes
Machine_9,89.91,15.77,yes
Machine_3,37.68,6.62,no
Machine_8,23.43,8.34,no
Machine_1,63.07,17.67,no
Machine_3,78.78,5.11,no
Machine_9,31.22,12.93,no
Machine_5,91.54,7.79,no
Machine_10,93.7,23.38,no
Machine_4,26.03,5.89,no
Machine_6,76.97,2.93,yes
Machine_7,64.55,4.83,yes
Machine_8,31.84,16.45,no
Machine_3,25.26,23.25,no
Machine_8,32.41,0.36,yes
Machine_4,99.87,10.59,no
Machine_1,63.8,23.97,no
Machine_10,86.24,9.28,yes
Machine_9,44.57,14.37,no
Machine_6,57.36,7.34,no
Machine_9,53.61,10.68,no
Machine_5,20.62,2.42,no
Machine_7,68.86,4.7,no
Machine_6,31.1,5.96,yes
Machine_5,62.06,0.53,no
Machine_8,69.98,13.53,yes
Machine_1,45.93,0.17,no
Machine_4,52.41,14.7,yes
Machine_10,88.12,21.7,yes
Machine_7,44.79,12.25,yes
Machine_7,68.92,5.87,yes
Machine_10,92.45,5.64,no
Machine_10,51.67,13.68,yes
Machine_5,25.29,8.59,no
Machine_3,30.47,15.93,no
Machine_9,28.3,20.87,no
Machine_1,89.17,10.68,no
Machine_4,88.9,15.84,no
Machine_10,48.22,13.06,yes
Machine_3,85.17,14.57,yes
Machine_4,33.12,0.04,yes
Machine_5,88.57,0.65,yes
Machine_3,54.94,23.6,yes
Machine_10,42.11,13.86,yes
Machine_10,79.6,11.56,no
Machine_2,36.12,4.26,yes
Machine_7,23.52,14.89,no
Machine_1,86.2,0.29,no
Machine_10,30.19,21.95,yes
Machine_5,41.39,22.57,yes
Machine_9,73.3,18.46,no
Machine_5,82.42,0.44,no
Machine_1,54.87,17.99,no
Machine_5,46.1,23.61,yes
Machine_3,98.16,20.71,yes
Machine_4,72.02,20.68,no
Machine_7,63.43,12.79,no
Machine_5,73.44,11.39,no
Machine_4,45.08,1.71,no
Machine_8,22.18,9.45,yes
Machine_10,60.48,5.0,yes
Machine_10,63.14,19.58,no
Machine_4,92.15,11.6,yes
Machine_5,86.39,4.22,yes
Machine_6,66.11,3.97,no
Machine_5,91.74,19.46,no
Machine_7,41.21,17.7,yes
Machine_3,43.88,0.88,no
Machine_6,62.79,2.72,yes
Machine_9,93.79,23.06,no
Machine_3,47.84,10.46,no
Machine_1,89.99,16.01,no
Machine_2,24.76,19.15,no
Machine_2,81.44,22.96,yes
Machine_2,86.77,23.3,yes
Machine_1,44.44,21.47,yes
Machine_10,20.2,18.43,yes
Machine_6,81.52,19.5,yes
Machine_3,88.56,17.4,yes
Machine_1,51.29,17.41,yes
Machine_8,35.34,6.36,yes
Machine_1,66.85,10.66,yes
Machine_2,86.61,3.44,yes
Machine_7,49.29,3.49,no
Machine_3,91.28,18.33,no
Machine_6,61.43,9.87,no
Machine_4,81.39,2.74,yes
Machine_2,78.41,1.96,no
Machine_5,37.35,6.36,yes
Machine_8,70.42,10.88,yes
Machine_3,72.44,2.25,yes
Machine_3,44.65,10.36,yes
Machine_2,56.77,1.48,yes
Machine_8,88.71,16.03,yes
Machine_2,34.39,18.71,no
Machine_10,76.75,14.63,yes
Machine_7,76.47,8.82,no
Machine_3,30.66,0.27,yes
Machine_5,95.63,22.66,no
Machine_3,96.07,15.12,yes
Machine_5,90.84,3.62,yes
Machine_7,43.93,4.83,yes
Machine_7,66.45,22.47,no
Machine_5,63.43,19.67,no
Machine_1,80.78,3.06,yes
Machine_2,68.36,9.46,yes
Machine_2,43.76,22.19,yes
Machine_8,80.79,0.79,yes
Machine_1,83.23,17.94,no
Machine_5,93.52,0.73,no
Machine_9,45.65,16.55,yes
Machine_4,71.29,2.84,no
Machine_5,76.08,20.4,no
Machine_10,52.47,1.31,yes
Machine_8,29.33,13.12,no
Machine_7,38.83,17.5,no
Machine_7,59.36,12.28,no
Machine_5,70.21,9.33,yes
Machine_7,55.97,6.75,no
